{'loss': 11.5108, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.04}                                                                                                                                                    
{'loss': 3.2189, 'learning_rate': 1.5406408174555978e-05, 'epoch': 1.02}                                      
{'loss': 3.1012, 'learning_rate': 1.5000000000000002e-05, 'epoch': 1.07}                                      
{'loss': 2.8088, 'learning_rate': 1.4582265217274105e-05, 'epoch': 1.11}                                      
{'loss': 2.6707, 'learning_rate': 1.4154150130018867e-05, 'epoch': 1.15}                                      
{'loss': 2.46, 'learning_rate': 1.3716624556603275e-05, 'epoch': 1.19}                                        
{'loss': 2.2357, 'learning_rate': 1.3270679633174219e-05, 'epoch': 1.24}                                      
{'loss': 2.0774, 'learning_rate': 1.2817325568414299e-05, 'epoch': 1.28}                                      
{'loss': 1.869, 'learning_rate': 1.2357589355094275e-05, 'epoch': 1.32}                                       
{'loss': 1.7228, 'learning_rate': 1.1892512443604103e-05, 'epoch': 1.37}                                      
{'loss': 1.521, 'learning_rate': 1.1423148382732854e-05, 'epoch': 1.41}                                       
{'loss': 1.3761, 'learning_rate': 1.0950560433041825e-05, 'epoch': 1.45}                                      
{'loss': 1.2408, 'learning_rate': 1.0475819158237426e-05, 'epoch': 1.49}                                      
{'loss': 1.113, 'learning_rate': 1e-05, 'epoch': 1.54} 
{'loss': 0.9939, 'learning_rate': 9.524180841762577e-06, 'epoch': 1.58}                                       
{'loss': 0.8794, 'learning_rate': 9.049439566958176e-06, 'epoch': 1.62}                                       
{'loss': 0.7772, 'learning_rate': 8.576851617267151e-06, 'epoch': 1.66}                                       
{'loss': 0.6831, 'learning_rate': 8.107487556395902e-06, 'epoch': 1.71}                                       
{'loss': 0.6315, 'learning_rate': 7.642410644905726e-06, 'epoch': 1.75}                                       
{'loss': 0.5943, 'learning_rate': 7.182674431585703e-06, 'epoch': 1.79}                                       
{'loss': 0.4875, 'learning_rate': 6.729320366825785e-06, 'epoch': 1.83}
{'loss': 0.4429, 'learning_rate': 6.283375443396726e-06, 'epoch': 1.88}                                       
{'loss': 0.4424, 'learning_rate': 5.845849869981137e-06, 'epoch': 1.92}                                       
{'loss': 0.3616, 'learning_rate': 5.417734782725896e-06, 'epoch': 1.96}                                       
{'loss': 0.3623, 'learning_rate': 5.000000000000003e-06, 'epoch': 2.01}                                       
{'loss': 0.3272, 'learning_rate': 4.593591825444028e-06, 'epoch': 2.05}                                       
{'loss': 0.2927, 'learning_rate': 4.19943090428802e-06, 'epoch': 2.09}                                        
{'loss': 0.2719, 'learning_rate': 3.818410137793947e-06, 'epoch': 2.13}                                       
{'loss': 0.2627, 'learning_rate': 3.4513926605471504e-06, 'epoch': 2.18}                                      
{'loss': 0.249, 'learning_rate': 3.099209885178882e-06, 'epoch': 2.22}                                        
{'loss': 0.2358, 'learning_rate': 2.7626596189492983e-06, 'epoch': 2.26}                                      
{'loss': 0.2236, 'learning_rate': 2.4425042564574186e-06, 'epoch': 2.3}                                       
{'loss': 0.1998, 'learning_rate': 2.1394690525721275e-06, 'epoch': 2.35}                                      
{'loss': 0.1997, 'learning_rate': 1.854240479496643e-06, 'epoch': 2.39}                                       
{'loss': 0.1886, 'learning_rate': 1.587464671688187e-06, 'epoch': 2.43}                                       
{'loss': 0.1883, 'learning_rate': 1.339745962155613e-06, 'epoch': 2.47}                                       
{'loss': 0.1884, 'learning_rate': 1.1116455134507665e-06, 'epoch': 2.52}                                      
{'loss': 0.1781, 'learning_rate': 9.036800464548157e-07, 'epoch': 2.56}                                       
{'loss': 0.1784, 'learning_rate': 7.163206698392744e-07, 'epoch': 2.6}                                        
{'loss': 0.1778, 'learning_rate': 5.499918128533155e-07, 'epoch': 2.65}                                       
{'loss': 0.178, 'learning_rate': 4.0507026385502747e-07, 'epoch': 2.69}                                       
{'loss': 0.1769, 'learning_rate': 2.818843167645835e-07, 'epoch': 2.73}                                       
{'loss': 0.1779, 'learning_rate': 1.8071302737293294e-07, 'epoch': 2.77}                                      
{'loss': 0.1762, 'learning_rate': 1.0178558119067316e-07, 'epoch': 2.82}                                      
{'loss': 0.1767, 'learning_rate': 4.528077426915412e-08, 'epoch': 2.86}                                       
{'loss': 0.177, 'learning_rate': 1.1326608169920373e-08, 'epoch': 2.9}                                        
{'loss': 0.1778, 'learning_rate': 0.0, 'epoch': 2.94}  
{'train_runtime': 2260.6037, 'train_samples_per_second': 3.981, 'train_steps_per_second': 0.031, 'train_loss': 3.5051343620255375, 'epoch': 2.94}
